plant_id,pi_camera_id,image_path before harvest,image_path after harvest,total.shoot.fw.mg,shoot.pixel,height.pixel,solidity,genotype,specie,location,temperature_celsius,seeds_in_germination,treatment_started,biomas_harvested,height_base_to_tip_of_longest_culm_cm,height_base_to_top_collar_of_longest_culm_cm,panicle FW(g),stemFW(mg),leaf FW(mg),panicle DW(mg),stemDW(mg),leaf DW(mg),roots DW (mg)
158-128,158-001-002,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-001-002/10.9.1.78_pos-158-001-002_2019-01-15-10-05.jpg,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-001-002/10.9.1.78_pos-158-001-002_2019-01-15-18-05.jpg,123.9,5166,354,0.06790979539,ME034V-1,setaria viridis,GCH158-low-tier,31,1/3/2019,1/11/2019,1/15/2019,11.7,4.8,0,41.8,82.1,0,3.5,8.4,3.5
158-130,158-001-002,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-001-002/10.9.1.78_pos-158-001-002_2019-02-19-09-05.jpg,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-001-002/10.9.1.78_pos-158-001-002_2019-02-19-10-05.jpg,1599.8682,45198,572,0.1615428742,ME034V-1,setaria viridis,GCH158-low-tier,31,1/3/2019,1/11/2019,2/19/2019,28,16.8,0.3682,1043.7,555.8,186.4,178.2,110.2,40.5
158-133,158-001-003,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-001-003/10.9.1.77_pos-158-001-003_2019-02-05-09-05.jpg,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-001-003/10.9.1.77_pos-158-001-003_2019-02-05-11-05.jpg,748.3,35263,621,0.1728226856,Les1,setaria viridis,GCH158-low-tier,31,1/3/2019,1/11/2019,2/5/2019,16.2,12,0.3,399,349,,54.6,46.7,22.2
158-135,158-001-003,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-001-003/10.9.1.77_pos-158-001-003_2019-02-19-09-05.jpg,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-001-003/10.9.1.77_pos-158-001-003_2019-02-19-13-05.jpg,1105.1749,50715,623,0.2060601136,Les1,setaria viridis,GCH158-low-tier,31,1/3/2019,1/11/2019,2/19/2019,19,14.2,0.5749,668.8,435.8,369,110.8,73.3,27.6
158-137,158-001-003,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-001-003/10.9.1.77_pos-158-001-003_2019-01-22-09-05.jpg,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-001-003/10.9.1.77_pos-158-001-003_2019-01-22-11-05.jpg,480.03,21862,592,0.1731533843,Les1,setaria viridis,GCH158-low-tier,31,1/3/2019,1/11/2019,1/22/2019,15,9.5,0.03,260,220,6.1,26.3,26,9.8
158-138,158-001-003,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-001-003/10.9.1.77_pos-158-001-003_2019-02-12-09-05.jpg,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-001-003/10.9.1.77_pos-158-001-003_2019-02-12-12-05.jpg,1871,71658,467,0.3572726661,Les1,setaria viridis,GCH158-low-tier,31,1/3/2019,1/11/2019,2/12/2019,19.5,12.3,1,1120,750,555.1,182.9,111.4,31.7
158-139,158-001-004,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-001-004/10.9.1.76_pos-158-001-004_2019-02-05-09-05.jpg,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-001-004/10.9.1.76_pos-158-001-004_2019-02-05-12-05.jpg,1576.57,46231,716,0.237649363,Les5,setaria viridis,GCH158-low-tier,31,1/3/2019,1/11/2019,2/5/2019,26.8,19,0.57,975,601,225.2,132.9,82.3,52.4
158-140,158-001-004,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-001-004/10.9.1.76_pos-158-001-004_2019-02-12-09-05.jpg,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-001-004/10.9.1.76_pos-158-001-004_2019-02-12-12-05.jpg,1910.88,66677,887,0.1831187057,Les5,setaria viridis,GCH158-low-tier,31,1/3/2019,1/11/2019,2/12/2019,28.8,17.3,0.88,1230,680,494.6,181.6,100.6,151
158-141,158-001-004,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-001-004/10.9.1.76_pos-158-001-004_2019-01-22-09-05.jpg,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-001-004/10.9.1.76_pos-158-001-004_2019-01-22-12-05.jpg,640.048,21298,658,0.1670850723,Les5,setaria viridis,GCH158-low-tier,31,1/3/2019,1/11/2019,1/22/2019,17.7,12.9,0.048,320,320,8.2,26.6,34.7,7.3
158-144,158-001-004,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-001-004/10.9.1.76_pos-158-001-004_2019-02-19-09-05.jpg,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-001-004/10.9.1.76_pos-158-001-004_2019-02-19-14-05.jpg,1250.65,30885,475,0.2291053135,Les5,setaria viridis,GCH158-low-tier,31,1/3/2019,1/11/2019,2/19/2019,17.5,9.8,0.65,720,530,429.8,139.3,94.1,18.9
159-151,159-003-002,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/159-003-002/10.9.1.97_pos-159-003-002_2019-01-15-09-05.jpg,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/159-003-002/10.9.1.97_pos-159-003-002_2019-01-15-18-05.jpg,201.3,11043,593,0.09575381307,ME034V-1,setaria viridis,GCH159-top-tier,36,1/3/2019,1/11/2019,1/15/2019,17.4,9,0,90.8,110.5,0,9.4,17.27,7.4
